,H,abbrv,category,citations,name,dblp_name
1290,4,CISSE,Information Retrieval,604,"International Joint Conferences on Computer, Information, and Systems Sciences, and Engineering",NotAConf
1291,4,CORIA,Information Retrieval,294,Conference en Recherche dInfomations et Applications,CORIA
1292,4,,Information Retrieval,34,New Developments in Digital Libraries,NotAConf
1293,4,Current Trends in SNePS,Information Retrieval,13,Semantic Network Processing System,NotAConf
1294,2,IWRIDL,Information Retrieval,17,International Workshop On Research Issues in Digital Libraries,NotAConf
1295,2,,Information Retrieval,8,ELSNET Summer School,ELSNET Summer School
1296,1,IuK,Information Retrieval,47,Information and Communication of the Learned Societies in Germany,IuK
1297,1,CAW,Information Retrieval,2,Computer Architecture Workshop,NotAConf
1298,1,,Information Retrieval,1,IR Workshop,NotAConf
1299,142,CHI,Human-Computer Interaction,8315,Computer Human Interaction,CHI
1300,101,CSCW,Human-Computer Interaction,1027,Conference on Computer Supported Cooperative Work,CSCW
1301,77,UIST,Human-Computer Interaction,824,User Interface Software and Technology,UIST
1302,55,UbiComp(HUC),Human-Computer Interaction,478,Ubiquitous Computing/Handheld and Ubiquitous Computing,UbiComp
1303,52,IUI,Human-Computer Interaction,1123,Intelligent User Interfaces,IUI
1304,50,ECSCW,Human-Computer Interaction,276,European Conference on Computer Supported Cooperative Work,ECSCW
1305,43,ISWC,Human-Computer Interaction,587,International Symposium on Wearable Computers,ISWC
1306,42,DIS,Human-Computer Interaction,447,Designing Interactive Systems,NotAConf
1307,41,HCI,Human-Computer Interaction,5198,Human-Computer Interaction,Human-Computer Interaction
1308,40,HLT,Human-Computer Interaction,525,Human Language Technology,HLT
1309,37,GROUP,Human-Computer Interaction,496,International Conference on Supporting Group Work,GROUP
1310,36,CISS,Human-Computer Interaction,1634,Conference on Information Sciences and Systems,CISS
1311,34,AVI,Human-Computer Interaction,625,Working Conference on Advanced Visual Interfaces,AVI
1312,33,UM,Human-Computer Interaction,459,User Modeling,User Modeling
1313,32,INTERACT,Human-Computer Interaction,1228,IFIP Conference on Human-Computer Interaction,INTERACT
1314,32,ICMI,Human-Computer Interaction,690,International Conference on Multimodal Interaction,ICMI
1315,32,,Human-Computer Interaction,235,Pervasive Computing,NotAConf
1316,31,,Human-Computer Interaction,975,Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems,Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems
1317,30,RO-MAN,Human-Computer Interaction,2016,IEEE International Symposium on Robot and Human Interactive Communication,RO-MAN
1318,29,ASSETS,Human-Computer Interaction,525,ACM Conference on Assistive Technologies,ASSETS
1319,29,,Human-Computer Interaction,502,ibm centre for advanced studies conference,NotAConf
1320,29,SASN,Human-Computer Interaction,67,workshop on security of ad hoc and sensor networks,SASN
1321,28,Mobile HCI,Human-Computer Interaction,809,Conference on Human-Computer Interaction with Mobile Devices and Services,Mobile HCI
1322,23,ICAD,Human-Computer Interaction,380,International Conference on Auditory Display,ICAD
1323,22,ICON,Human-Computer Interaction,1148,IEEE International Conference on Networks,ICON
1324,22,,Human-Computer Interaction,502,BCS HCI Conference,NotAConf
1325,22,ETRA,Human-Computer Interaction,237,Eye Tracking Research & Application,ETRA
1326,21,NIME,Human-Computer Interaction,377,New Interfaces for Musical Expression,NIME
1327,21,DSV-IS,Human-Computer Interaction,301,"Design, Specification, and Verification of Interactive Systems",DSV-IS
1328,21,GW,Human-Computer Interaction,277,Gesture Workshop,Gesture Workshop
1329,21,EHCI,Human-Computer Interaction,101,Engineering for Human-Computer Interaction,EHCI
1330,21,WSNA,Human-Computer Interaction,30,international workshop on wireless sensor networks and applications,WSNA
1331,20,PDC,Human-Computer Interaction,234,Participatory Design,PDC
1332,20,MLMI,Human-Computer Interaction,181,Machine Learning for Multimodal Interaction,MLMI
1333,19,SIGDOC,Human-Computer Interaction,1000,ACM Special Interest Group for Design of Communication,SIGDOC
1334,19,IDC,Human-Computer Interaction,160,Interaction Design And Children,IDC
1335,18,ACII,Human-Computer Interaction,357,Affective Computing and Intelligent Interaction,ACII
1336,18,USAB,Human-Computer Interaction,217,Usability Symposium,Usability Symposium
1337,18,ACCG,Human-Computer Interaction,201,spring conference on computer graphics,NotAConf
1338,18,CUU,Human-Computer Interaction,59,ACM Conference on Universal Usability,NotAConf
1339,17,MVA,Human-Computer Interaction,1255,Machine Vision Applications,MVA
1340,17,ACMACE,Human-Computer Interaction,515,Advances in Computer Entertainment Technology,NotAConf
1341,17,OZCHI,Human-Computer Interaction,488,Australasian Computer-Human Interaction Conference,OZCHI
1342,17,DIGRA,Human-Computer Interaction,364,Conference of the Digital Games Research Association,DiGRA
1343,16,ICNSC,Human-Computer Interaction,1768,"International Conference on Networking, Sensing and Control",ICNSC
1344,16,,Human-Computer Interaction,369,International conference on tangible and embedded interaction,NotAConf
1345,16,CADUI,Human-Computer Interaction,150,Computer-Aided Design of User Interfaces,CADUI
1346,15,TABLETOP,Human-Computer Interaction,119,Workshop on Horizontal Interactive Human-Computer Systems,Tabletop
1347,15,EUFIT,Human-Computer Interaction,89,European Congress on Intelligent Techniques and Soft Computing,NotAConf
1348,15,AIRWEB,Human-Computer Interaction,56,Adversarial Information Retrieval on the Web,AIRWeb
1349,14,ICCM,Human-Computer Interaction,188,International Conference on Cognitive Modelling,ICCM
1350,14,C&C,Human-Computer Interaction,123,Creativity and Cognition,NotAConf
1351,14,,Human-Computer Interaction,121,theoretical issues in natural language processing,NotAConf
1352,14,,Human-Computer Interaction,97,European Symposium on Ambient Intelligence,NotAConf
1353,14,FOAL,Human-Computer Interaction,52,Foundations of Aspect-Oriented Languages,FOAL
1354,14,CoBuild,Human-Computer Interaction,46,Cooperative Buildings,CoBuild
1355,13,ICCHP,Human-Computer Interaction,1031,International Conference on Computers for Handicapped Persons,ICCHP
1356,13,ICEC,Human-Computer Interaction,536,International Workshop on Entertainment Computing,ICEC
1357,13,NORDICHI,Human-Computer Interaction,301,Nordic Conference on Human-Computer Interaction,NordiCHI
1358,13,APCHI,Human-Computer Interaction,219,Asia-Pacific Computer and Human Interaction,APCHI
1359,13,AUIC,Human-Computer Interaction,109,Australasian User Interface Conference,AUIC
1360,13,,Human-Computer Interaction,45,Workshop on Materialized,NotAConf
1361,12,W4A,Human-Computer Interaction,165,International Cross-Disciplinary Conference on Web Accessibility,W4A
1362,12,TAMODIA,Human-Computer Interaction,164,Task Models and Diagrams for User Interface Design,TAMODIA
1363,12,,Human-Computer Interaction,120,Digital Cities,Digital Cities
1364,12,,Human-Computer Interaction,99,User Interfaces for All,User Interfaces for All
1365,12,DUX,Human-Computer Interaction,54,Designing For User Experiences,NotAConf
1366,12,TLDI,Human-Computer Interaction,48,Types In Languages Design And Implementation,TLDI
1367,12,,Human-Computer Interaction,30,Haptic Human-Computer Interaction,Haptic Human-Computer Interaction
1368,11,BMAS,Human-Computer Interaction,260,IEEE International Behavioral Modeling and Simulation Conference,BMAS
1369,11,PERSUASIVE,Human-Computer Interaction,179,Persuasive Technology,PERSUASIVE
1370,11,,Human-Computer Interaction,74,EWHCI,EWHCI
1371,11,EUROITV,Human-Computer Interaction,75,European Conference on Interactive TV,EuroITV
1372,11,IASTED,Human-Computer Interaction,58,IASTED Conferences,NotAConf
1373,11,WITS,Human-Computer Interaction,38,Workshop on Information Technologies and Systems,WITS
1374,11,,Human-Computer Interaction,34,Designing Augmented Reality Environments,Designing Augmented Reality Environments
1375,11,MD,Human-Computer Interaction,23,IEEE Meta-Data Conference,NotAConf
1376,11,IWAI,Human-Computer Interaction,19,International Workshop on Affective Interactions,IWAI
1377,10,,Human-Computer Interaction,281,Multikonferenz Wirtschaftsinformatik,Multikonferenz Wirtschaftsinformatik
1378,10,C5,Human-Computer Interaction,226,"Conference on Creating, Connecting and Collaborating through Computing",C5
1379,10,IE,Human-Computer Interaction,73,Australasian Conference on Interactive Entertainment,IE
1380,10,FPSAC,Human-Computer Interaction,66,Formal Power Series and Algebraic Combinatorics (link),NotAConf
1381,10,ICIT,Human-Computer Interaction,55,International Conference on Information Technology,ICIT
1382,10,KDEX,Human-Computer Interaction,47,Knowledge and Data Engineering Exchange Workshop,NotAConf
1383,10,,Human-Computer Interaction,41,Cooperative Systems Design,NotAConf
1384,9,,Human-Computer Interaction,373,Active Media Technology,Active Media Technology
1385,9,DPPI,Human-Computer Interaction,84,Designing Pleasurable Products and Interfaces,DPPI
1386,9,,Human-Computer Interaction,70,IFIP TC9/WG9.1 Publications,NotAConf
1387,9,ADS,Human-Computer Interaction,38,Affective Dialogue Systems,ADS
1388,9,UIDIS,Human-Computer Interaction,31,User Interfaces to Data Intensive Systems,UIDIS
1389,9,AusWeb,Human-Computer Interaction,16,Australian World Wide Web Conference,NotAConf
1390,8,,Human-Computer Interaction,343,Mensch & Computer,Mensch & Computer
1391,8,CANDC,Human-Computer Interaction,201,Creativity & Cognition,Creativity & Cognition
1392,8,ACHI,Human-Computer Interaction,153,International Conference on Advances in Computer-Human Interaction,ACHI
1393,8,INTETAIN,Human-Computer Interaction,86,Intelligent Technologies for Interactive Entertainment,INTETAIN
1394,8,CSREAHCI,Human-Computer Interaction,31,CSREA HCI,CSREA HCI
1395,8,,Human-Computer Interaction,28,Engineering for Human-Computer Interaction,NotAConf
1396,8,GFPW,Human-Computer Interaction,27,Glasgow Functional Programming Workshop,NotAConf
1397,8,,Human-Computer Interaction,18,Artifical Intelligence for Human Computing,Artifical Intelligence for Human Computing
1398,8,IVME,Human-Computer Interaction,17,"interpreters, virtual machines and emulators",NotAConf
1399,8,RAW,Human-Computer Interaction,13,Reconfigurable Architectures Workshop,NotAConf
1400,7,ICETET,Human-Computer Interaction,712,International Conference on Emerging Trends in Engineering & Technology,ICETET
1401,7,ITHET,Human-Computer Interaction,490,Information Technology Based Higher Education and Training,ITHET
1402,7,,Human-Computer Interaction,282,Software-Ergonomie,Software-Ergonomie
1403,7,DIMEA,Human-Computer Interaction,137,International Conference on Digital Interactive Media in Entertainment and Arts,DIMEA
1404,7,,Human-Computer Interaction,73,Informatics and Psychology,NotAConf
1405,7,PIT,Human-Computer Interaction,62,Perception and Interactive Technologies,PIT
1406,7,WUAUC,Human-Computer Interaction,29,Workshop on Universal Accessibility of Ubiquitous Computing,Workshop on Universal Accessibility of Ubiquitous Computing
1407,7,CHIMIT,Human-Computer Interaction,10,Computer Human Interaction for the Management of Information Technology,CHIMIT
1408,6,IHM,Human-Computer Interaction,245,Interaction Homme-Machine,IHM
1409,6,IWIPS,Human-Computer Interaction,105,International Workshop on Internationalization of Products and System,IWIPS
1410,6,HAID,Human-Computer Interaction,86,Haptic and Audio Interaction Design,HAID
1411,6,InfoSecCD,Human-Computer Interaction,71,information security curriculum development,InfoSecCD
1412,6,EUPROJECTS,Human-Computer Interaction,53,EU Projects,NotAConf
1413,6,,Human-Computer Interaction,41,IFIP TC13 Publications,NotAConf
1414,6,DKSME,Human-Computer Interaction,38,Data and Knowledge Systems for Manufacturing and Engineering,NotAConf
1415,6,ECLIPSE,Human-Computer Interaction,21,oopsla workshop on eclipse technology exchange,OOPSLA Workshop on Eclipse Technology eXchange
1416,6,HPW,Human-Computer Interaction,12,History of Personal Workstations,NotAConf
1417,6,WIW,Human-Computer Interaction,12,WSMO Implementation Workshop,WIW
1418,6,ABIS,Human-Computer Interaction,10,Adaptivitt und Benutzermodellierung in interaktiven Softwaresystemen,NotAConf
1419,6,COCV,Human-Computer Interaction,6,Compiler Optimization Meets Compiler Verification,NotAConf
1420,5,HCC,Human-Computer Interaction,121,Human Choice and Computers,HCC
1421,5,CHINZ,Human-Computer Interaction,63,ACM SIGCHI New Zealand Chapters International Conference on Computer-Human Interaction,CHINZ
1422,5,VCHCI,Human-Computer Interaction,55,Vienna Conference on Human Compter Interaction,VCHCI
1423,5,WSEAS,Human-Computer Interaction,54,WSEAS Conferences,NotAConf
1424,5,BIWIT,Human-Computer Interaction,29,Basque International Workshop on Information Technology,NotAConf
1425,5,,Human-Computer Interaction,20,Future Play,Future Play
1426,5,NATW,Human-Computer Interaction,16,IEEE North Atlantic Test Workshop,NATW
1427,5,MIXER,Human-Computer Interaction,12,Workshop on Exploring the Design and Engineering of Mixed Reality Systems,MIXER
1428,5,CGAMES,Human-Computer Interaction,8,Computer Games Conference,CGAMES
1429,5,ICTE,Human-Computer Interaction,7,Information and Communication Technologies in Education,NotAConf
1430,4,ICIS,Human-Computer Interaction,273,International Conference on Interaction Sciences,ICIS
1431,4,ExaCt,Human-Computer Interaction,53,Explanation-aware Computing,ExaCt
1432,4,,Human-Computer Interaction,27,Interaction Challenges for Intelligent Assistants,Interaction Challenges for Intelligent Assistants
1433,4,SIGMAP,Human-Computer Interaction,18,Signal Processing and Multimedia Applications,SIGMAP
1434,4,,Human-Computer Interaction,16,IFIP WG13.2 Publications,NotAConf
1435,4,MBUI,Human-Computer Interaction,12,Model-Based User Interface,MBUI
1436,4,ETAPS,Human-Computer Interaction,7,European joint conference on Theory And Practice of Software,NotAConf
1437,4,DAGS,Human-Computer Interaction,5,Electronic Publishing and the Information Superhighway,NotAConf
1438,3,IHC,Human-Computer Interaction,63,Brazilian Symposium on Human Factors in Computing Systems,IHC
1439,3,FDG,Human-Computer Interaction,51,Foundations of Digital Games,FDG
1440,3,,Human-Computer Interaction,16,Menschengerechte Groupware,Menschengerechte Groupware
1441,3,,Human-Computer Interaction,16,IFIP TC5/WG9.3 Publications,NotAConf
1442,3,HDMS,Human-Computer Interaction,9,Hellenic Data Management Symposium,NotAConf
1443,3,auic,Human-Computer Interaction,6,Australasian conference on User interface,AUIC
1444,3,INCOB,Human-Computer Interaction,4,International Conference on Bioinformatics,NotAConf
1445,2,MVHI,Human-Computer Interaction,208,Machine Vision and Human-machine Interface,MVHI
1446,2,,Human-Computer Interaction,139,Informatik und Gesellschaft,NotAConf
1447,2,,Human-Computer Interaction,32,Future Play,Future Play
1448,2,MCI,Human-Computer Interaction,10,Mensch-Computer Interaktion,NotAConf
1449,2,CFIP,Human-Computer Interaction,8,Colloque Francophone sur lIngnierie des Protocoles,NotAConf
1450,2,DART,Human-Computer Interaction,5,Databases: Active and Real-Time,NotAConf
1451,2,GccSummit,Human-Computer Interaction,3,GCC Developers Summit,NotAConf
1452,2,ISDL,Human-Computer Interaction,3,"International Symposium on Research, Development and Practice in Digital Libraries",NotAConf
1453,2,WCFLP,Human-Computer Interaction,3,Workshop on Curry and Functional Logic Programming,WCFLP
1454,2,IO,Human-Computer Interaction,2,Information Outlook,NotAConf
1455,2,IUC,Human-Computer Interaction,2,International Unicode Conference,NotAConf
1456,2,EA,Human-Computer Interaction,2,Evolution Artificielle,NotAConf
1457,2,STRATEGIES,Human-Computer Interaction,2,Strategies in Automated Deduction,NotAConf
1458,1,,Human-Computer Interaction,29,Arbeitspltze morgen,NotAConf
1459,1,FMSE,Human-Computer Interaction,2,workshop on formal methods in security engineering,FMSE
1460,1,DACH,Human-Computer Interaction,2,D-A-CH Security,NotAConf
1461,1,SVG.Open,Human-Computer Interaction,1,Scalable Vector Graphics,NotAConf
1462,1,COTIM,Human-Computer Interaction,1,Conference on Telecommunications and Information Markets,NotAConf
1463,1,,Human-Computer Interaction,1,IEEE Symposia on Human Centric Computing Languages and Environments,NotAConf
1464,0,ADC,Human-Computer Interaction,2,Australasian Database Conference,Australasian Database Conference
1465,0,CRITICAL,Human-Computer Interaction,1,Critical Computing,Critical Computing
1466,0,TEI,Human-Computer Interaction,1,Tangible and embedded interaction,Tangible and Embedded Interaction
1467,124,DAC,Hardware & Architecture,9030,Design Automation Conference,DAC
1468,95,ISCAS,Hardware & Architecture,23071,IEEE International Symposium on Circuits and Systems,ISCAS
1469,94,ICCAD,Hardware & Architecture,2762,International Conference on Computer Aided Design,ICCAD
1470,89,ISPD,Hardware & Architecture,2704,International Symposium on Physical Design,ISPD
1471,89,MICRO,Hardware & Architecture,899,International Symposium on Microarchitecture,MICRO
1472,83,ISCA,Hardware & Architecture,1343,International Symposium on Computer Architecture,ISCA
1473,71,ISLPED,Hardware & Architecture,1386,International Symposium on Low Power Electronics and Design,ISLPED
1474,65,DATE,Hardware & Architecture,4600,"Design, Automation, and Test in Europe",DATE
1475,65,HPCA,Hardware & Architecture,691,International Symposium on High-Performance Computer Architecture,HPCA
1476,56,FCCM,Hardware & Architecture,930,Field-Programmable Custom Computing Machines,FCCM
1477,55,FPGA,Hardware & Architecture,845,Symposium on Field Programmable Gate Arrays,FPGA
1478,55,,Hardware & Architecture,778,Hybrid Systems,Hybrid Systems
1479,53,CHES,Hardware & Architecture,427,Cryptographic Hardware and Embedded Systems,CHES
1480,51,ICCD,Hardware & Architecture,2438,International Conference on Computer Design,ICCD
1481,49,VTS,Hardware & Architecture,1450,IEEE VLSI Test Symposium,VTS
1482,48,PACT,Hardware & Architecture,804,International Conference on Parallel Architectures and Compilation Techniques,PACT
1483,44,ASPLOS,Hardware & Architecture,334,Architectural Support for Programming Languages and Operating Systems,ASPLOS
1484,41,ASP-DAC,Hardware & Architecture,3963,Asia and South Pacific Design Automation Conference,ASP-DAC
1485,40,ISSS,Hardware & Architecture,483,International Symposium on Systems Synthesis,ISSS
1486,40,CODES,Hardware & Architecture,341,International Conference on Hardware Software Codesign,CODES
1487,39,ECRTS,Hardware & Architecture,697,Euromicro Conference on Real-Time Systems,ECRTS
1488,38,FPL,Hardware & Architecture,2019,Field-Programmable Logic and Applications,FPL
1489,36,ASYNC,Hardware & Architecture,402,Symposium on Asynchronous Circuits and Systems,ASYNC
1490,34,EURODAC,Hardware & Architecture,945,European Design and Test Conference,NotAConf
1491,34,CASES,Hardware & Architecture,406,"Compilers, Architecture, and Synthesis for Embedded Systems",CASES
1492,33,ARITH,Hardware & Architecture,648,IEEE Symposium on Computer Arithmetic,IEEE Symposium on Computer Arithmetic
1493,32,,Hardware & Architecture,2313,VLSI Design,VLSI Design
1494,32,COMPCON,Hardware & Architecture,899,Computer Society International Conference,COMPCON
1495,32,TPHOLs,Hardware & Architecture,569,Theorem Proving in Higher Order Logics,TPHOLs
1496,29,CGO,Hardware & Architecture,278,Symposium on Code Generation and Optimization,CGO
1497,28,EDTC,Hardware & Architecture,368,European Design and Test Conference,NotAConf
1498,28,CHARME,Hardware & Architecture,220,Conference on Correct Hardware Design and Verification Methods,CHARME
1499,27,ISQED,Hardware & Architecture,1775,International Symposium on Quality Electronic Design,ISQED
1500,27,ARVLSI,Hardware & Architecture,139,Advanced Research in VLSI,ARVLSI
1501,26,DFT,Hardware & Architecture,1070,Defect and Fault Tolerance in VLSI Systems,DFT
1502,26,VLSI,Hardware & Architecture,621,Very Large Scale Integration,VLSI
1503,25,,Hardware & Architecture,1479,ACM Great Lakes Symposium on VLSI,ACM Great Lakes Symposium on VLSI
1504,25,ASAP,Hardware & Architecture,626,"Application-Specific Systems, Architectures, and Processors",ASAP
1505,24,ISMVL,Hardware & Architecture,1374,IEEE International Symposium on Multiple-Valued Logic,ISMVL
1506,24,SiPS,Hardware & Architecture,1104,IEEE Workshop on Signal Processing Systems,SiPS
1507,23,IWLS,Hardware & Architecture,246,International Workshop on Logic & Synthesis,IWLS
1508,22,ATS,Hardware & Architecture,752,Asian Test Symposium,ATS
1509,20,,Hardware & Architecture,758,Annual Symposium on VLSI,NotAConf
1510,20,RSP,Hardware & Architecture,710,Workshop on Rapid System Prototyping,RSP
1511,20,ETS,Hardware & Architecture,434,European Test Symposium,European Test Symposium
1512,19,FPT,Hardware & Architecture,771,IEEE International Conference on Field-Programmable Technology,FPT
1513,19,IOLTS,Hardware & Architecture,689,International On-Line Testing Symposium,IOLTS
1514,19,PACS,Hardware & Architecture,68,Power-Aware Computer Systems,PACS
1515,18,ACSD,Hardware & Architecture,307,Int. Conf. on Application of Concurrency to System Design,ACSD
1516,17,DSD,Hardware & Architecture,1018,Euromicro Symposium on Digital Systems Design,DSD
1517,17,SLIP,Hardware & Architecture,172,System-Level Interconnect Prediction,SLIP
1518,16,ERSA,Hardware & Architecture,410,Engineering of Reconfigurable Systems and Algorithms,Engineering of Reconfigurable Systems and Algorithms
1519,15,DELTA,Hardware & Architecture,549,"Workshop on Electronic Design, Test and Applications",DELTA
1520,15,MTDT,Hardware & Architecture,344,"Memory Technology, Design and Testing",MTDT
1521,14,PATMOS,Hardware & Architecture,615,"Workshop on Power and Timing Modeling, Optimization and Simulation",PATMOS
1522,14,SAMOS,Hardware & Architecture,300,"Systems, Architectures, Modeling, and Simulation",SAMOS
1523,13,CAMP,Hardware & Architecture,378,Computer Architectures for Machine Perception,CAMP
1524,13,CPA,Hardware & Architecture,129,Communicating Process Architectures,CPA
1525,13,,Hardware & Architecture,55,Computer Hardware Description Languages and their Applications,NotAConf
1526,12,AHS,Hardware & Architecture,418,Adaptive Hardware and Systems,AHS
1527,12,CODES+ISSS,Hardware & Architecture,193,International Conference on Hardware Software Codesign,CODES+ISSS
1528,12,HIPEAC,Hardware & Architecture,137,High Performance Embedded Architectures and Compilers,HiPEAC
1529,12,TAU,Hardware & Architecture,39,Timing Issues In The Specification And Synthesis Of Digital Systems,Timing Issues in the Specification and Synthesis of Digital Systems
1530,11,ICA3PP,Hardware & Architecture,657,International Conference on Algorithms and Architectures for Parallel Processing,ICA3PP
1531,11,ACSAC,Hardware & Architecture,330,Asia-Pacific Computer Systems Architecture Conference,Asia-Pacific Computer Systems Architecture Conference
1532,11,MVL,Hardware & Architecture,58,Multiple-Valued Logic,Multiple Valued Logic
1533,10,DDECS,Hardware & Architecture,605,Workshop on Design and Diagnostics of Electronic Circuits and Systems,DDECS
1534,10,ARC,Hardware & Architecture,276,Applied Reconfigurable Computing,ARC
1535,10,MIC,Hardware & Architecture,150,"Modelling, Identification and Control","Modelling, Identification and Control"
1536,10,,Hardware & Architecture,49,Workshop on Interaction between Compilers and Computer Architectures,NotAConf
1537,10,TPCD,Hardware & Architecture,39,Theorem Provers in Circuit Design,TPCD
1538,10,,Hardware & Architecture,27,Mathematical Science Institute Workshops,NotAConf
1539,9,IWSOC,Hardware & Architecture,312,International Workshop System-on-Chip for Real-Time Applications,IWSOC
1540,9,ESTIMEDIA,Hardware & Architecture,170,Embedded Systems for Real-Time Multimedia,ESTImedia
1541,9,MTV,Hardware & Architecture,159,Workshop on Microprocessor Test and Verification,MTV
1542,9,,Hardware & Architecture,139,IFIP WG10.5,NotAConf
1543,9,WMPI,Hardware & Architecture,25,Workshop on Memory Performance Issues,WMPI
1544,8,ICMENS,Hardware & Architecture,430,"International Conference on MEMS, NANO, and Smart Systems",ICMENS
1545,8,SIPEW,Hardware & Architecture,44,SPEC International Performance Evaluation Workshop,SIPEW
1546,8,E-smart,Hardware & Architecture,22,Research in Smart Cards,E-smart
1547,7,SoCC,Hardware & Architecture,289,IEEE International System-on-Chip (SoC) Conference,SoCC
1548,7,,Hardware & Architecture,69,Synthesis for Control Dominated Circuits,NotAConf
1549,6,CIT,Hardware & Architecture,195,Conference on Information Technology,CIT
1550,6,RECOSOC,Hardware & Architecture,95,Reconfigurable Communication-centric Systems-on-Chip,ReCoSoC
1551,6,,Hardware & Architecture,28,New Zealand Computer Science Research Students Conference,New Zealand Computer Science Research Students' Conference
1552,6,,Hardware & Architecture,18,Intelligent Memory Systems,Intelligent Memory Systems
1553,5,CDES,Hardware & Architecture,213,International Conference on Computer Design,CDES
1554,5,IESS,Hardware & Architecture,75,International Embedded Systems Symposium,IESS
1555,5,,Hardware & Architecture,41,Fractals in the Natural and Applied Sciences,Fractals in the Natural and Applied Sciences
1556,5,,Hardware & Architecture,13,New Hardware Design Methods,NotAConf
1557,5,MEDEA,Hardware & Architecture,7,"Memory Performance: Dealing With Applications, Systems And Architecture",NotAConf
1558,4,IASTEDCCS,Hardware & Architecture,149,"Circuits, Signals, and Systems","Circuits, Signals, and Systems"
1559,4,,Hardware & Architecture,36,Sagamore Computer Conference,Sagamore Computer Conference
1560,4,,Hardware & Architecture,8,Formal Hardware Verification,Formal Hardware Verification
1561,3,SIGMAP,Hardware & Architecture,185,Signal Processing and Multimedia Applications,SIGMAP
1562,3,,Hardware & Architecture,46,Microcomputing,Microcomputing
1563,3,APCCAS,Hardware & Architecture,6,Asia Pacific Conference on Circuits and Systems,APCCAS
1564,2,HPCNCS,Hardware & Architecture,81,"High Performance Computing, Networking and Communication Systems",HPCNCS
1565,2,,Hardware & Architecture,25,Rechnergesttzter Entwurf und Architektur mikroelektronischer Systeme,NotAConf
1566,2,,Hardware & Architecture,14,Firmware Engineering,Firmware Engineering
1567,1,,Hardware & Architecture,39,Online-Systeme im Finanz- und Rechnungswesen,Online-Systeme im Finanz- und Rechnungswesen
1568,182,SIGGRAPH,Graphics,3475,Annual Conference on Computer Graphics,SIGGRAPH
1569,69,,Graphics,1249,IEEE Visualization,IEEE Visualization
1570,60,I3D,Graphics,423,ACM Symposium on interactive 3D graphics,I3D
1571,57,VIS,Graphics,483,Verlliche Informationssysteme,VIS
1572,56,EGSR,Graphics,386,Eurographics Symposium on Rendering/Eurographics Workshop on Rendering Techniques,NotAConf
1573,54,GI,Graphics,700,Graphics Interface,Graphics Interface
1574,48,INFOVIS,Graphics,424,IEEE Symposium on Information Visualization,INFOVIS
1575,47,SCA,Graphics,257,Symposium on Computer Animation,Symposium on Computer Animation
1576,40,ISMAR,Graphics,754,International Symposium on Mixed and Augmented Reality,ISMAR
1577,40,VR,Graphics,461,Virtual Reality,Virtual Reality
1578,38,CA,Graphics,292,Computer Animation Conference,CA
1579,37,SMA,Graphics,638,Symposium on Solid Modeling and Applications,Symposium on Solid Modeling and Applications
1580,36,PG,Graphics,513,Pacific Conference on Computer Graphics and Applications,Pacific Conference on Computer Graphics and Applications
1581,34,VRST,Graphics,630,Virtual Reality Software and Technology,VRST
1582,34,VolVis,Graphics,93,Volume Visualization and Graphics,VolVis
1583,33,,Graphics,517,Shape Modeling International,Shape Modeling International
1584,31,IV,Graphics,1699,International Conference on Information Visualisation,IV
1585,30,HWWS,Graphics,94,SIGGRAPH/EUROGRAPHICS Workshop On Graphics Hardware,NotAConf
1586,28,,Graphics,235,Eurographics,NotAConf
1587,27,NPAR,Graphics,137,Non-Photorealistic Animation and Rendering,NPAR
1588,26,VBC,Graphics,181,Visualization in Biomedical Computing,VBC
1589,25,VisSym,Graphics,222,Joint Eurographics,VisSym
1590,24,WSCG,Graphics,784,International Conference in Central Europe on Computer Graphics and Visualization,WSCG
1591,24,,Graphics,313,Web3D / VRML Symposium,NotAConf
1592,24,SGP,Graphics,98,Symposium on Geometry Processing,Symposium on Geometry Processing
1593,23,CGI,Graphics,573,Computer Graphics International,Computer Graphics International
1594,22,VMV,Graphics,518,Vision Modeling and Visualization,VMV
1595,22,,Graphics,174,Advances in Computer Graphics Hardware,Advances in Computer Graphics Hardware
1596,22,CVE,Graphics,90,Collaborative Virtual Environments,CVE
1597,21,VVS,Graphics,88,Volume Visualization,VVS
1598,19,GREC,Graphics,265,Graphics Recognition,GREC
1599,19,ICWSM,Graphics,236,International Conference on Weblogs and Social Media,ICWSM
1600,18,VG,Graphics,139,Volume Graphics,Volume Graphics
1601,17,SIBGRAPI,Graphics,840,Brazilian Symposium on Computer Graphics and Image Processing,SIBGRAPI
1602,17,PVG,Graphics,50,IEEE Symposium on Parallel and Large-Data Visualization and Graphics,IEEE Symposium on Parallel and Large-Data Visualization and Graphics
1603,17,PRS,Graphics,44,Parallel Rendering Symposium,NotAConf
1604,16,VSMM,Graphics,367,Virtual Systems and Multimedia,VSMM
1605,15,CW,Graphics,808,International Conference on Cyberworlds,CW
1606,15,,Graphics,282,Geometric Modeling and Processing,NotAConf
1607,15,GRAPHITE,Graphics,281,Computer graphics and interactive techniques in Austalasia and South East Asia,GRAPHITE
1608,15,,Graphics,240,Smart Graphics,Smart Graphics
1609,15,VAST,Graphics,183,"Virtual reality, archeology, and cultural heritage",VAST
